Date,X3.Mo,X10.Yr
2/24/1984,9.54,11.99
2/27/1984,9.55,12.05
2/28/1984,9.59,12.09
2/29/1984,9.49,12.04
3/1/1984,9.54,12.07
3/2/1984,9.5,11.99
3/5/1984,9.54,12.07
3/6/1984,9.59,12.09
3/7/1984,9.67,12.22
3/8/1984,9.7,12.24
3/9/1984,9.77,12.28
3/12/1984,9.69,12.24
3/13/1984,9.74,12.27
3/14/1984,9.83,12.31
3/15/1984,9.86,12.31
3/16/1984,9.87,12.34
3/19/1984,10,12.45
3/20/1984,10.2,12.44
3/21/1984,10.2,12.45
3/22/1984,10.18,12.49
3/23/1984,10.15,12.48
3/26/1984,10.11,12.46
3/27/1984,10.17,12.46
3/28/1984,10.1,12.42
3/29/1984,10.07,12.41
3/30/1984,10.09,12.53
4/2/1984,10.05,12.56
4/3/1984,10.18,12.65
4/4/1984,10.18,12.67
4/5/1984,10.18,12.65
4/6/1984,10.05,12.51
4/9/1984,9.95,12.47
4/10/1984,10.01,12.52
4/11/1984,10.01,12.5
4/12/1984,10.02,12.4
4/13/1984,10.11,12.57
4/16/1984,10.17,12.61
4/17/1984,10.15,12.57
4/18/1984,10.14,12.7
4/19/1984,10.1,12.77
4/20/1984,.,.
4/23/1984,10.01,12.8
4/24/1984,10.04,12.75
4/25/1984,10.02,12.69
4/26/1984,9.91,12.67
4/27/1984,10.08,12.79
4/30/1984,10.1,12.82
5/1/1984,10.08,12.82
5/2/1984,10.06,12.86
5/3/1984,10.05,12.89
5/4/1984,10.25,13.07
5/7/1984,10.35,13.13
5/8/1984,10.44,13.09
5/9/1984,10.4,13.21
5/10/1984,10.25,13.25
5/11/1984,10.4,13.46
5/14/1984,10.37,13.58
5/15/1984,10.52,13.48
5/16/1984,10.14,13.41
5/17/1984,10.16,13.54
5/18/1984,10.19,13.45
5/21/1984,10.07,13.43
5/22/1984,10.45,13.52
5/23/1984,10.33,13.54
5/24/1984,10.09,13.72
5/25/1984,9.94,13.75
5/28/1984,.,.
5/29/1984,10.09,13.89
5/30/1984,10.15,13.99
5/31/1984,10.13,13.91
6/1/1984,10.18,13.63
6/4/1984,10.23,13.42
6/5/1984,10.14,13.37
6/6/1984,10.15,13.54
6/7/1984,10.23,13.54
6/8/1984,10.25,13.46
6/11/1984,10.43,13.58
6/12/1984,10.48,13.54
6/13/1984,10.28,13.44
6/14/1984,10.28,13.39
6/15/1984,10.27,13.21
6/18/1984,10.35,13.27
6/19/1984,10.31,13.38
6/20/1984,10.31,13.65
6/21/1984,10.33,13.72
6/22/1984,10.23,13.74
6/25/1984,10.14,13.75
6/26/1984,10.19,13.79
6/27/1984,10.14,13.76
6/28/1984,10.24,13.8
6/29/1984,10.31,13.84
7/2/1984,10.12,13.87
7/3/1984,10.38,13.8
7/4/1984,.,.
7/5/1984,10.37,13.77
7/6/1984,10.4,13.75
7/9/1984,10.41,13.48
7/10/1984,10.54,13.53
7/11/1984,10.51,13.55
7/12/1984,10.44,13.42
7/13/1984,10.36,13.3
7/16/1984,10.4,13.32
7/17/1984,10.61,13.37
7/18/1984,10.52,13.32
7/19/1984,10.54,13.25
7/20/1984,10.59,13.36
7/23/1984,10.63,13.35
7/24/1984,10.69,13.31
7/25/1984,10.68,13.06
7/26/1984,10.67,12.89
7/27/1984,10.7,12.95
7/30/1984,10.76,13.05
7/31/1984,10.83,12.91
8/1/1984,10.86,12.81
8/2/1984,10.9,12.74
8/3/1984,10.9,12.61
8/6/1984,10.98,12.73
8/7/1984,10.97,12.69
8/8/1984,10.9,12.66
8/9/1984,10.85,12.61
8/10/1984,10.86,12.68
8/13/1984,10.88,12.74
8/14/1984,10.72,12.67
8/15/1984,10.62,12.74
8/16/1984,10.68,12.7
8/17/1984,10.75,12.7
8/20/1984,10.88,12.69
8/21/1984,10.85,12.62
8/22/1984,10.84,12.65
8/23/1984,10.88,12.69
8/24/1984,10.91,12.66
8/27/1984,11.12,12.81
8/28/1984,11.1,12.81
8/29/1984,11.11,12.83
8/30/1984,11.09,12.84
8/31/1984,11.06,12.79
9/3/1984,.,.
9/4/1984,11.14,12.88
9/5/1984,11.08,12.92
9/6/1984,11.04,12.81
9/7/1984,10.99,12.7
9/10/1984,10.84,12.62
9/11/1984,10.82,12.54
9/12/1984,10.83,12.55
9/13/1984,10.75,12.44
9/14/1984,10.79,12.42
9/17/1984,10.81,12.4
9/18/1984,10.74,12.35
9/19/1984,10.69,12.25
9/20/1984,10.66,12.28
9/21/1984,10.67,12.45
9/24/1984,10.72,12.52
9/25/1984,10.71,12.56
9/26/1984,10.64,12.46
9/27/1984,10.57,12.31
9/28/1984,10.63,12.47
10/1/1984,10.65,12.54
10/2/1984,10.67,12.54
10/3/1984,10.59,12.54
10/4/1984,10.57,12.52
10/5/1984,10.55,12.39
10/8/1984,.,.
10/9/1984,10.51,12.36
10/10/1984,10.48,12.36
10/11/1984,10.36,12.31
10/12/1984,10.3,12.28
10/15/1984,10.39,12.34
10/16/1984,10.35,12.32
10/17/1984,10.26,12.28
10/18/1984,10.1,12.09
10/19/1984,9.93,11.93
10/22/1984,9.92,11.9
10/23/1984,9.82,11.78
10/24/1984,9.51,11.74
10/25/1984,9.53,11.83
10/26/1984,9.71,11.99
10/29/1984,9.65,11.95
10/30/1984,9.54,11.75
10/31/1984,9.35,11.79
11/1/1984,9.36,11.66
11/2/1984,9.34,11.66
11/5/1984,8.99,11.6
11/6/1984,.,.
11/7/1984,8.86,11.72
11/8/1984,9.08,11.81
11/9/1984,8.94,11.71
11/12/1984,.,.
11/13/1984,9.04,11.78
11/14/1984,9.08,11.81
11/15/1984,8.98,11.73
11/16/1984,8.9,11.69
11/19/1984,8.93,11.61
11/20/1984,8.93,11.53
11/21/1984,8.85,11.39
11/22/1984,.,.
11/23/1984,8.75,11.24
11/26/1984,8.79,11.28
11/27/1984,8.68,11.28
11/28/1984,8.68,11.38
11/29/1984,8.65,11.42
11/30/1984,8.74,11.58
12/3/1984,8.71,11.56
12/4/1984,8.8,11.52
12/5/1984,8.78,11.52
12/6/1984,8.78,11.61
12/7/1984,8.64,11.7
12/10/1984,8.65,11.66
12/11/1984,8.63,11.57
12/12/1984,8.56,11.54
12/13/1984,8.58,11.7
12/14/1984,8.39,11.56
12/17/1984,8.24,11.49
12/18/1984,8.08,11.29
12/19/1984,7.97,11.34
12/20/1984,8.07,11.37
12/21/1984,8.03,11.34
12/24/1984,7.9,11.31
12/25/1984,.,.
12/26/1984,7.89,11.45
12/27/1984,7.93,11.45
12/28/1984,8,11.46
12/31/1984,8.12,11.55
1/1/1985,.,.
1/2/1985,8.1,11.7
1/3/1985,8.07,11.62
1/4/1985,8.08,11.67
1/7/1985,8.06,11.5
1/8/1985,8.06,11.45
1/9/1985,7.95,11.47
1/10/1985,8,11.48
1/11/1985,8.02,11.59
1/14/1985,7.96,11.6
1/15/1985,7.99,11.49
1/16/1985,8,11.51
1/17/1985,8,11.48
1/18/1985,8,11.39
1/21/1985,.,.
1/22/1985,7.96,11.27
1/23/1985,7.9,11.21
1/24/1985,7.88,11.06
1/25/1985,7.89,11.11
1/28/1985,7.98,11.11
1/29/1985,8.09,11.11
1/30/1985,8.1,11.08
1/31/1985,8.33,11.17
2/1/1985,8.47,11.29
2/4/1985,8.47,11.35
2/5/1985,8.43,11.3
2/6/1985,8.41,11.4
2/7/1985,8.46,11.41
2/8/1985,8.51,11.37
2/11/1985,8.5,11.42
2/12/1985,.,.
2/13/1985,8.53,11.39
2/14/1985,8.48,11.29
2/15/1985,8.47,11.38
2/18/1985,.,.
2/19/1985,8.46,11.37
2/20/1985,8.53,11.52
2/21/1985,8.73,11.64
2/22/1985,8.68,11.76
2/25/1985,8.69,11.75
2/26/1985,8.65,11.72
2/27/1985,8.75,11.89
2/28/1985,8.81,11.91
3/1/1985,8.98,11.86
3/4/1985,9.05,11.93
3/5/1985,9,11.86
3/6/1985,9.01,11.92
3/7/1985,9.12,11.94
3/8/1985,8.89,11.71
3/11/1985,8.79,11.72
3/12/1985,8.85,11.78
3/13/1985,8.91,11.9
3/14/1985,9.05,11.92
3/15/1985,8.71,11.93
3/18/1985,8.83,12.02
3/19/1985,8.86,11.99
3/20/1985,8.84,11.91
3/21/1985,8.75,11.82
3/22/1985,8.82,11.88
3/25/1985,8.74,11.86
3/26/1985,8.64,11.77
3/27/1985,8.63,11.84
3/28/1985,8.49,11.75
3/29/1985,8.47,11.65
4/1/1985,8.44,11.66
4/2/1985,8.51,11.7
4/3/1985,8.45,11.73
4/4/1985,8.41,11.75
4/5/1985,.,.
4/8/1985,8.41,11.77
4/9/1985,8.37,11.66
4/10/1985,8.38,11.58
4/11/1985,8.32,11.42
